id_analisis,nombre,codigo,descripcion,precio,unidad_min,tiempo,pais_id,acreditacion
1,Otro,Otro,Otro,0,3g,2 días,México,True
11,MICROSCOPY,H-DPL001,"PLANT, SUBSTRATE -- TAT 5-8",4020,,5-8 días,Holanda,False
12,MICROSCOPY + PLATING,H-DPL002,"PLANT, SUBSTRATE, SEED -- TAT 4-15",5220,,4-15 días,Holanda,False
13,MICROSCOPY + DNA,H-DPL003,"OP PACKAGE -- PLANT, SUBSTRATE--TAT 5-8",5460,,5-8 días,Holanda,False
14,"MICROSCOPY, PLATING, DNA",H-DPL004,"OP PACKAGE -- PLANT, SUBSTRATE--TAT 4-15",6420,,4-15 días,Holanda,False
15,DIAGNOSTIC OF PLANT DISEASES,H-DPL005,AT 7-14,7140,,7-14 días,Holanda,False
16,DNA CHECK STRAWBERRY,H-DPL006,"WATER, PLANT, SUBSTRATE--TAT 5-8",4740,,5-8 días,Holanda,False
17,DNA CHECK CHRYSANTHEMUM,H-DPL007,"WATER, PLANT, SUBSTRATE--TAT 5-8",4740,,5-8 días,Holanda,False
18,DNA CHECK RASPBERRY,H-DPL008,"WATER, PLANT, SUBSTRATE--TAT 5-8",4740,,5-8 días,Holanda,False
19,DNA CHECK GERBERA,H-DPL009,"WATER, PLANT, SUBSTRATE--TAT 5-8",4740,,5-8 días,Holanda,False
20,DNA CHECK CUCUMBER,H-DPL010,"WATER, PLANT, SUBSTRATE--TAT 5-8",4740,,5-8 días,Holanda,False
21,DNA CHECK LISIANTHUS,H-DPL011,"WATER, PLANT, SUBSTRATE-- TAT 5-8",4740,,5-8 días,Holanda,False
22,DNA CHECK ANTHURIUM,H-DPL012,"WATER, PLANT, SUBSTRATE--TAT 5-8",4740,,5-8 días,Holanda,False
23,DNA CHECK BELLPEPPER,H-DPL013,"WATER, PLANT, SUBSTRATE--TAT 5-8",4740,,5-8 días,Holanda,False
24,DNA CHECK PHALAENOPSIS,H-DPL014,"WATER, PLANT, SUBSTRATE-- TAT 5-8",4740,,5-8 días,Holanda,False
25,DNA CHECK ROSE,H-DPL015,"WATER, PLANT, SUBSTRATE-- TAT-5-8",4740,,5-8 días,Holanda,False
26,DNA CHECK TOMATO,H-DPL016,"WATER, PLANT, SUBSTRATE-- TAT 5-8",4740,,5-8 días,Holanda,False
27,DNA CHECK TOMATO+CLAVIBACTER,H-DPL017,"WATER, PLANT, SUBSTRATE-- TAT 5-8",4980,,5-8 días,Holanda,False
28,DNA CHECK 1 PATHOGEN,H-DPL018,"WATER, PLANT, SUBSTRATE--TAT 5-8",3780,,5-8 días,Holanda,False
29,ROOT THICKENING BACTERIUM,H-DPL019,"WATER, ROOT-- TAT 5-8",3780,,5-8 días,Holanda,False
30,CLAVIBACTER DIRECTLY (CLAVIBACTER MICHIGANENSIS SUBSP. MICHIGANENSIS),H-DPL020,"LANT, SUBSTRATE -- RT-PCR-- TAT 5-8",3780,,5-8 días,Holanda,False
31,ACCUMULATION CLAVIBACTER (CLAVIBACTER MICHIGANENSIS MICHIGANENSIS,H-DPL021,"O PCR) -- WATER, PLANT, SUBSTRATE -- BIO-PCR-- TAT 5-8",4740,,5-8 días,Holanda,False
32,SEED CONTROL CLAVIBACTER,H-DPL022,SEED--TAT 8-12,7500,500 GR O ML,8-12 días,Holanda,False
33,AGROBACTERIUM DIRECT,H-DPL023,"WATER, PLANT, SUBSTRATE--TAT 4-8",3780,501 GR O ML,4-8 días,Holanda,False
34,ACCUMULATION AGROBACTERIUM (CRAZY ROOTS),H-DPL024,"BIO-PCR--WATER, PLANT, SUBSTRATE--TAT 5-9",4740,5000 SEMILLAS,8-12 días,Holanda,False
35,AGROBACTERIUM QUANTITATIVE,H-DPL025,"ROOTS, PIECES OF WOOD, WATER, SUBSTRATE, SOIL -- RT-PCR",4740,,4-8 días,Holanda,False
36,SEQUENCE ANALYSIS,H-DPL026,"NA- SEQUENCING-- CROP, ROOT, ETC -- TAT 10-15",7500,,5-9 días,Holanda,False
37,LEUCOCOPRINUS ANALYSIS,H-DPL027,POTTING SOIL--TAT 7-12,5100,,4-8 días,Holanda,False
38,ERWINIA ACCUMULATION,H-DPL028,"PCR-- WATER, SOIL, SUBSTRATE, PLANT MATERIAL--TAT 4-8",3900,,10-15 días,Holanda,False
39,VERTICILLIUM,H-DPL029,"RT-PCR--WATER, PLANT, SUBSTRATE -- TAT 4-8",4740,,7-12 días,Holanda,False
40,RALSTONIA SOLANACEARUM,H-DPL030,BIO PCR -- PLANT -- TAT 4-8,4740,,3-7 días,Holanda,False
41,PSEUDOMONAS SYRINGAE / CORRUGATA,H-DPL031,ATER--TAT 4-8,3780,,4-8 días,Holanda,False
42,CHRYSANTHEMUM VIROID,H-DPL032,PCR-- PLANT--4-8,3420,,4-8 días,Holanda,False
43,VIROID PACKAGE,H-DPL033,CR-- PLANT--TAT 4-8,4740,,4-8 días,Holanda,False
44,1 VIROID,H-DPL034,CR-- PLANT--TAT 4-8,3780,,4-8 días,Holanda,False
45,1 VIRUS,H-DPL035,LISA--CROP--TAT 4-8,2700,,4-8 días,Holanda,False
46,1 VIRUS/VIROID,H-DPL036,RT-PCR--CROP--TAT 4-8,3780,,4-8 días,Holanda,False
47,VIRUS PACKAGE TOMATO (MVT),H-DPL037,ELISA-- CROP -- TAT 4-8,3900,,4-8 días,Holanda,False
48,VIRUS PACKAGE TOMATO (MVT),H-DPL038,ELISA-- WATER-- TAT 4-8,5928,,4-8 días,Holanda,False
49,VIRUS PACKAGE BELL PEPPER (MVP),H-DPL039,LISA-- CROP -- TAT 4-8,3900,,4-8 días,Holanda,False
50,VIRUS PACKAGE CUCUMBER (MVK),H-DPL040,LISA-- CROP --TAT 4-8,3300,,4-8 días,Holanda,False
51,VIRUS CUCUMBER WATER,H-DPL041,LISA--WATER--TAT 4-8,5100,,4-8 días,Holanda,False
52,VIRUS PACKAGE BERRIES,H-DPL042,LISA--CROP--TAT 4-8,4500,,4-8 días,Holanda,False
53,PEPINO MOSAIC VIRUS((MST) ANALYSE OF 4 STRAINS),H-DPL043,LISA-- CROP --TAT 4-8,5100,,4-8 días,Holanda,False
54,PEPINO MOSAIC VIRUS ((MCP) ANALYSE INTENSITY OF STRAINS),H-DPL044,LISA--CROP--TAT 4-8,5100,,4-8 días,Holanda,False
55,PEPINO MOSAIC VIRUS,H-DPL045,EED--TAT 4-8,3900,,4-8 días,Holanda,False
56,BEGOMOVIRUS +TYLCV,H-DPL046,CROP--TAT 4-8,4740,,4-8 días,Holanda,False
57,TMV+ ToMV (TOBAMO GRUP),H-DPL047,"LISA-- SOIL, --TAT 4-8",3300,,12-15 días,Holanda,False
58,TOMATOCHLORESEVIRUS (ToCV),H-DPL048,CR--CROP--TAT 4-8,4740,,12-15 días,Holanda,False
59,TOMATO BROWN RUGOSE FRUIT VIRUS TBRFV=ToBRFV,H-DPL049,"T-PCR --PLANT, SEEDS--TAT 4-8",4740,,12-15 días,Holanda,False
60,TOMATO BROWN RUGOSE FRUIT VIRUS TBRFV=ToBRFV,H-DPL050,"T-PCR --WATER, SWAPS--TAT 4-8",6540,,12-15 días,Holanda,False
61,VIRUS PACKAGE TOMATO (MVT) + ToBRFV,H-DPL051,"LISA/ PCR --PLANT, SEED--TAT 4-8",6840,500 ml,9-11 días,Holanda,False
62,VIRUS PACKAGE BELL PEPPER (MVP)+ ToBRFV,H-DPL052,"LISA/ PCR --PLANT, SEED--TAT 4-8",6840,501 ml,9-11 días,Holanda,False
63,VIRUS AND VIROIDS PACKAGE,H-DPL053,LISA/PCR--PLANT--TAT 4-8,7500,502 ml,9-11 días,Holanda,False
64,TRICHODERMA SPP + BACILLUS SPP,H-DPL054,,4320,,16-18 días,Holanda,False
65,NEMATODES STRAWBERRY,H-DPL055,SOIL (+ROOT)--TAT 12-15,3840,,12-14 días,Holanda,False
66,NEMATODES ROSE,H-DPL056,SOIL (+ROOT)--TAT 12-15,3900,,9-12 días,Holanda,False
67,NEMATODES GREENHOUSE CROPS,H-DPL057,"SOIL, SUBSTRATE, ROOT--TAT 12-15",3840,,9-12 días,Holanda,False
68,OTHER NEMATODES,H-DPL058,"WATER, PLANT, SUBSTRATE--TAT 12-15",3840,,32-34 días,Holanda,False
69,PLATE COUNT,H-DPL059,WATER--TAT 9-11,2340,,7-9 días,Holanda,False
70,BACTERIAL COUNT WATER INCL. PP,H-DPL060,WATER--TAT 9-11,3560,,9-11 días,Holanda,False
71,FUNGI,H-DPL061,TER INCL. PP -- WATER,3920,,0-60 días,Holanda,False
72,CRESS TEST,H-DPL062,PRODUCT--TAT 16-18,4020,,8-11 días,Holanda,False
73,LEGIONELLA,H-DPL063,WATER-- TAT 12-14,3780,,12-14 días,Holanda,False
74,PLATING ANALYSIS FOR 1 PATHOGENIC FUNGUS OR BACTERIA,H-DPL064,"WATER, PLANT, SUBSTRATE--TAT 9-12",2840,,9-12 días,Holanda,False
75,PLATING ANALYSIS FOR ROOT OR CROP,H-DPL065,"CROP, ROOT--TAT 9 -12",3920,,9-12 días,Holanda,False
76,PLATING ANALYSIS VERTICILLIUM,H-DPL066,"WATER, PLANT, SUBSTRATE-- TAT 32-34",5000,,32-34 días,Holanda,False
77,CYCLOSPORA SPP (PARASITE),H-DPL067,FRESH PRODUCE -- INTERNAL METHOD -- TAT 7-9,4740,,7-9 días,Holanda,False
78,MITES,H-DPL068,"MICROSCOPE--SUSPECTED LEAVES, FRUIT--TAT 10-12",5220,,10-12 días,Holanda,False
79,"THRIPS, WHITE FLY",H-DPL069,MICROSCOPE--CROP--TAT 10-12,4020,,10-12 días,Holanda,False
80,"ALGAE, SEAWEED",H-DPL070,ICROSCOPE-- WATER--TAT 7-10,4140,,7-10 días,Holanda,False
81,TRICHODERMA HARZIANUM,H-DPL071,"LATING-- PLANT, SOIL,ROOT--TAT 8-12",4020,,8-12 días,Holanda,False
82,XYLELLA,H-DPL072,CROP--TAT 10-12,11100,,10-12 días,Holanda,False
83,ACUMULATION A RHIZOGENIS + TUMEFACIENS,H-DPL073,T-PCR--TAT 6,4980,,6-6 días,Holanda,False
84,1 EXTRA BACTERIA OR FUNGUS IN DNA CHECK ANALYSIS,H-DPL074,EXTRA BACTERIA OR FUNGUS IN DNA CHECK ANALYSIS,1980,,0-60 días,Holanda,False
85,MULTIRESIDUAL DE PESTICIDAS CON MAS DE 800 MOLECULAS (ANALYSIS LIST ATTACHMENT): GC/LC SCREENING GC,H-FQ001,MS AND LC-MS/MS--Q--TAT 4-5,4300,4300,4-7 días,Holanda,True
